month,country_or_territory,currency,code,rate
2021-02,Western Samoa,Tala,WST,3.4358
2021-02,Yemen (Rep of),Rial,YER,342.6100
2021-02,Zambia,Kwacha,ZMW,29.0600
2021-02,Zimbabwe,Dollar,ZWL,493.3200
2021-03,Abu Dhabi,Dirham,AED,5.1612
2021-03,Albania,Lek,ALL,143.1100
2021-03,Algeria,Dinar,DZD,186.8900
2021-03,Angola,Readj Kwanza,AOA,914.7200
2021-03,Antigua,E Caribbean Dollar,XCD,3.7938
2021-03,Argentina,Peso,ARS,125.6600
2021-03,Armenia,Dram,AMD,737.8200
2021-03,Aruba,Florin,AWG,2.5151
2021-03,Australia,Dollar,AUD,1.7778
2021-03,Azerbaijan,New Manat,AZN,2.3873
2021-03,Bahamas,Dollar,BSD,1.4051
2021-03,Bahrain,Dinar,BHD,0.5298
2021-03,Bangladesh,Taka,BDT,118.9700
2021-03,Barbados,Dollar,BBD,2.8102
2021-03,Belarus,Rouble,BYN,3.6568
2021-03,Belize,Dollar,BZD,2.8102
2021-03,Benin,CFA Franc,XOF,759.3700
2021-03,Bermuda,Dollar (US),BMD,1.4051
2021-03,Bhutan,Ngultrum,BTN,101.8500
2021-03,Bolivia,Boliviano,BOB,9.7093
2021-03,Bosnia- Herzegovinia,Marka,BAM,2.2642
2021-03,Botswana,Pula,BWP,15.2400
2021-03,Brazil,Real,BRL,7.7229
2021-03,Brunei,Dollar,BND,1.8590
2021-03,Bulgaria,Lev,BGN,2.2643
2021-03,Burkina Faso,CFA Franc,XOF,759.3700
2021-03,Burundi,Franc,BIF,2755.4100
2021-03,Cambodia,Riel,KHR,5718.7800
2021-03,Cameroon Republic,CFA Franc,XAF,759.3700
2021-03,Canada,Dollar,CAD,1.7727
2021-03,Cape Verde Islands,Escudo,CVE,128.1800
2021-03,Cayman Islands,Dollar,KYD,1.1522
2021-03,Central African Republic,CFA Franc,XAF,759.3700
2021-03,Chad,CFA Franc,XAF,759.3700
2021-03,Chile,Peso,CLP,995.5900
2021-03,China,Yuan,CNY,9.0885
2021-03,Colombia,Peso,COP,5055.9200
2021-03,Comoros,Franc,KMF,569.5200
